"162","КАЛАШНИКОВ","0.4","0.03","0.08","0.01","0.01","0.18","0.09"
"163","КАБАНОВ","0.39","0.05","0.13","0.16","0.02","0.01","0.02"
"164","НОСКОВ","0.39","0.12","0.04","0.01","0.05","0.01","0.16"
"165","ЮДИН","0.38","0.01","0.05","0.07","0.05","0.1","0.1"
"166","КУЛАГИН","0.37","0","0.24","0.02","0.06","0","0.05"
"167","ЛАПИН","0.37","0.07","0.07","0.03","0.14","0.02","0.04"
"168","ПРОХОРОВ","0.38","0.03","0.07","0.13","0.04","0.07","0.04"
"169","НЕСТЕРОВ","0.36","0.06","0.03","0.09","0.06","0.04","0.08"
"170","ХАРИТОНОВ","0.35","0.05","0.06","0.1","0.05","0.03","0.06"
"171","АГАФОНОВ","0.35","0.05","0.05","0.02","0.05","0.15","0.03"
"172","МУРАВЬЁВ","0.35","0.09","0.09","0.1","0.02","0.02","0.03"
"173","ЛАРИОНОВ","0.34","0.04","0.12","0.02","0.11","0","0.05"
"174","ФЕДОСЕЕВ","0.33","0.01","0.03","0.01","0.21","0.01","0.06"
"175","ЗИМИН","0.34","0.06","0.11","0.01","0.11","0.01","0.04"
"176","ПАХОМОВ","0.33","0.01","0.06","0.04","0.09","0.06","0.07"
"177","ШУБИН","0.34","0.1","0.03","0.01","0.04","0.02","0.14"
"178","ИГНАТОВ","0.34","0.14","0.03","0.07","0.01","0.04","0.05"
"179","ФИЛАТОВ","0.32","0.01","0.04","0.08","0.03","0.1","0.06"
"180","КРЮКОВ","0.32","0.07","0.04","0.03","0.02","0.11","0.05"
"181","РОГОВ","0.31","0.02","0.14","0.01","0.07","0.01","0.06"
"182","КУЛАКОВ","0.31","0.11","0.05","0.05","0.02","0.05","0.03"
"183","ТЕРЕНТЬЕВ","0.32","0.01","0.08","0.08","0.08","0.02","0.05"
"184","МОЛЧАНОВ","0.31","0.06","0.08","0.06","0.01","0.08","0.02"
"185","ВЛАДИМИРОВ","0.31","0.03","0.06","0.1","0.04","0.03","0.05"
"186","АРТЕМЬЕВ","0.31","0.02","0.07","0.12","0.05","0","0.05"
"187","ГУРЬЕВ","0.3","0.01","0.06","0.07","0.14","0","0.02"
"188","ЗИНОВЬЕВ","0.32","0.03","0.05","0.01","0.13","0.09","0.01"
"189","ГРИШИН","0.29","0.01","0.04","0.13","0.02","0.04","0.05"
"190","КОНОНОВ","0.29","0.02","0.13","0.02","0.04","0.07","0.01"
"191","ДЕМЕНТЬЕВ","0.3","0.02","0.06","0.03","0.09","0.04","0.06"
"192","СИТНИКОВ","0.28","0.02","0.05","0","0.09","0.04","0.08"
"193","СИМОНОВ","0.28","0.05","0.04","0.08","0.01","0.08","0.02"
"194","МИШИН","0.29","0.02","0.07","0.03","0.09","0.06","0.02"
"195","ФАДЕЕВ","0.28","0.04","0.06","0.06","0.03","0.01","0.08"
"196","КОМИССАРОВ","0.27","0.14","0.03","0.04","0.03","0.01","0.02"
"197","МАМОНТОВ","0.28","0.09","0.03","0.04","0.04","0.02","0.06"
"198","НОСОВ","0.28","0.02","0.15","0.04","0.03","0.02","0.02"
"199","ГУЛЯЕВ","0.27","0.11","0.03","0.03","0.01","0.05","0.04"
"200","ШАРОВ","0.27","0.13","0.05","0.03","0.03","0.02","0.01"
"201","УСТИНОВ","0.27","0.02","0.06","0.06","0.01","0.06","0.06"
"202","ВИШНЯКОВ","0.28","0.02","0.09","0.01","0.12","0.01","0.03"
"203","ЕВСЕЕВ","0.28","0.04","0.06","0.11","0.02","0.03","0.02"
"204","ЛАВРЕНТЬЕВ","0.28","0.01","0.1","0.05","0.1","0.01","0.01"
"205","БРАГИН","0.26","0.01","0.13","0.03","0.04","0.02","0.03"
"206","КОНСТАНТИНОВ","0.26","0.03","0.09","0.06","0.01","0.03","0.04"
"207","КОРНИЛОВ","0.27","0.03","0.08","0.02","0.1","0.02","0.02"
"208","АВДЕЕВ","0.26","0.02","0.04","0.02","0.08","0.07","0.03"
"209","ЗЫКОВ","0.26","0.08","0.1","0.01","0.01","0.01","0.05"
"210","БИРЮКОВ","0.28","0.02","0.06","0.08","0.01","0.07","0.04"
"211","ШАРАПОВ","0.25","0.02","0.05","0.03","0.03","0.02","0.1"
"212","НИКОНОВ","0.26","0.01","0.06","0.07","0.08","0.03","0.01"
"213","ЩУКИН","0.26","0.04","0.08","0.01","0.06","0.01","0.06"
"214","ДЬЯЧКОВ","0.26","0.01","0.1","0.01","0.09","0.02","0.03"
"215","ОДИНЦОВ","0.23","0.1","0.07","0.02","0.01","0.01","0.02"
"216","САЗОНОВ","0.23","0.02","0.07","0.05","0.01","0.06","0.02"
"217","ЯКУШЕВ","0.24","0.01","0.04","0.12","0.04","0.01","0.02"
"218","КРАСИЛЬНИКОВ","0.23","0.04","0.05","0","0.07","0.02","0.05"
"219","ГОРДЕЕВ","0.23","0.01","0.09","0.03","0.01","0.02","0.07"
"220","САМОЙЛОВ","0.23","0.01","0.03","0","0.06","0.07","0.06"
"221","КНЯЗЕВ","0.23","0.04","0.08","0.03","0.01","0.02","0.05"
"222","БЕСПАЛОВ","0.23","0.04","0.08","0.02","0.02","0.04","0.03"
"223","УВАРОВ","0.22","0.01","0.08","0.01","0.01","0.08","0.03"
"224","ШАШКОВ","0.23","0.01","0.07","0.09","0.05","0","0.01"
"225","БОБЫЛЕВ","0.23","0.03","0.05","0.07","0.03","0.01","0.04"
"226","ДОРОНИН","0.21","0","0.05","0.02","0.08","0.05","0.01"
"227","БЕЛОЗЕРОВ","0.21","0.02","0.13","0.01","0.01","0.03","0.01"
"228","РОЖКОВ","0.22","0.01","0.06","0.07","0.01","0.06","0.01"
"229","САМСОНОВ","0.21","0.02","0.04","0.06","0.04","0.02","0.03"
"230","МЯСНИКОВ","0.21","0.05","0.03","0.03","0.01","0","0.09"
"231","ЛИХАЧЁВ","0.2","0.01","0.06","0.01","0.06","0.04","0.02"
"232","БУРОВ","0.2","0.02","0.11","0.05","0.01","0","0.01"
"233","СЫСОЕВ","0.2","0.01","0.03","0.03","0.09","0.01","0.03"
"234","ФОМИЧЁВ","0.18","0.03","0.04","0.06","0.01","0","0.04"
"235","РУСАКОВ","0.2","0.01","0.05","0.07","0.01","0","0.06"
"236","СТРЕЛКОВ","0.19","0.01","0.12","0.03","0.01","0.01","0.01"
"237","ГУЩИН","0.19","0.03","0.05","0","0.01","0.05","0.05"
"238","ТЕТЕРИН","0.19","0.01","0.03","0.01","0.07","0","0.07"
"239","КОЛОБОВ","0.18","0.07","0.05","0.01","0.05","0","0"
"240","СУББОТИН","0.18","0.01","0.09","0.01","0.01","0.03","0.03"
"241","ФОКИН","0.17","0.01","0.03","0.05","0.05","0.01","0.02"
"242","БЛОХИН","0.15","0.05","0.06","0.02","0.01","0.01","0"
"243","СЕЛИВЕРСТОВ","0.15","0.01","0.05","0.02","0.02","0","0.05"
"244","ПЕСТОВ","0.15","0.04","0.05","0.01","0.03","0","0.02"
"245","КОНДРАТЬЕВ","0.15","0.01","0.05","0.04","0.02","0.01","0.02"
"246","СИЛИН","0.15","0.02","0.03","0.01","0.04","0.02","0.03"
"247","МЕРКУШЕВ","0.11","0","0.03","0.03","0.04","0","0.01"
"248","ЛЫТКИН","0.11","0.01","0.04","0.02","0.02","0","0.02"
"249","ТУРОВ","0.12","0.02","0.03","0.01","0.02","0.01","0.03"
